Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Label
2,26,1,1,1,9,7,1.75,4,3,0,4,1,280,0,1
2,37.42,2.04,1,1,10,7,0.04,4,3,0,4,1,400,5800,1
2,34.92,2.5,1,1,10,7,0,4,3,0,4,1,239,200,1
2,34.25,3,1,1,3,8,7.415,4,3,0,4,1,0,0,1
2,23.33,11.625,2,2,10,7,0.835,4,3,0,4,1,160,300,1
2,23.17,0,1,1,3,7,0.085,4,3,0,3,1,0,0,1
2,44.33,0.5,1,1,4,8,5,4,3,0,4,1,320,0,1
2,35.17,4.5,1,1,11,8,5.75,3,3,0,4,3,711,0,1
2,43.25,3,1,1,9,8,6,4,4,11,3,1,80,0,1
2,56.75,12.25,1,1,7,7,1.25,4,4,4,4,1,200,0,1
2,31.67,16.165,1,1,2,7,3,4,4,9,3,1,250,730,1
1,23.42,0.79,2,2,9,7,1.5,4,4,2,4,1,80,400,1
1,20.42,0.835,1,1,9,7,1.585,4,4,1,3,1,0,0,1
2,26.67,4.25,1,1,3,7,4.29,4,4,1,4,1,120,0,1
2,34.17,1.54,1,1,3,7,1.54,4,4,1,4,1,520,50000,1
1,36,1,1,1,1,7,2,4,4,11,3,1,0,456,1
2,25.5,0.375,1,1,7,7,0.25,4,4,3,3,1,260,15108,1
2,19.42,6.5,1,1,10,8,1.46,4,4,7,3,1,80,2954,1
2,35.17,25.125,1,1,11,8,1.625,4,4,1,4,1,515,500,1
2,32.33,7.5,1,1,12,9,1.585,4,3,0,4,3,420,0,0
2,34.83,4,1,1,2,9,12.5,4,3,0,4,1,2064.60579710145,0,0
1,38.58,5,1,1,3,7,13.5,4,3,0,4,1,980,0,0
2,44.25,0.5,1,1,7,7,10.75,4,3,0,3,3,400,0,0
2,44.83,7,2,2,1,7,1.625,3,3,0,3,1,160,2,0
2,20.67,5.29,1,1,9,7,0.375,4,4,1,3,1,160,0,0
2,34.08,6.5,1,1,13,7,0.125,4,3,0,4,1,443,0,0
1,19.17,0.585,2,2,13,7,0.585,4,3,0,4,1,160,0,0
2,21.67,1.165,2,2,6,7,2.5,4,4,1,3,1,180,20,0
2,21.5,9.75,1,1,1,7,0.25,4,3,0,3,1,140,0,0
2,49.58,19,1,1,14,14,0,4,4,1,3,1,94,0,0
1,27.67,1.5,1,1,7,7,2,4,3,0,3,3,368,0,0
2,39.83,0.5,1,1,7,7,0.25,4,3,0,3,3,288,0,0
1,1770.1495942029,3.5,1,1,2,7,3,4,3,0,4,1,300,0,0
2,27.25,0.625,1,1,13,7,0.455,4,3,0,4,1,200,0,0
2,37.17,4,1,1,1,9,5,4,3,0,4,3,280,0,0
2,1770.1495942029,0.375,1,1,2,7,0.875,4,3,0,4,3,928,0,0
2,25.67,2.21,2,2,13,7,4,4,3,0,3,1,188,0,0
2,34,4.5,1,1,13,7,1,4,3,0,4,1,240,0,0
1,49,1.5,1,1,5,5,0,4,3,0,4,1,100,27,0
2,62.5,12.75,2,2,1,8,5,4,3,0,3,1,112,0,0
2,31.42,15.5,1,1,1,7,0.5,4,3,0,3,1,120,0,0
2,1770.1495942029,5,2,2,13,7,8.5,4,3,0,3,1,0,0,0
2,52.33,1.375,2,2,1,8,9.46,4,3,0,4,1,200,100,0
2,28.75,1.5,2,2,1,7,1.5,4,3,0,4,1,0,225,0
1,28.58,3.54,1,1,4,9,0.5,4,3,0,4,1,171,0,0
2,23,0.625,2,2,13,7,0.125,4,3,0,3,1,180,1,0
2,1770.1495942029,0.5,1,1,1,9,0.835,4,3,0,4,3,320,0,0
1,22.5,11,2,2,9,7,3,4,3,0,4,1,268,0,0
1,28.5,1,1,1,9,7,1,4,4,2,4,1,167,500,0
2,37.5,1.75,2,2,1,9,0.25,4,3,0,4,1,164,400,0
2,35.25,16.5,2,2,1,7,4,4,3,0,3,1,80,0,0
2,18.67,5,1,1,9,7,0.375,4,4,2,3,1,0,38,0
2,25,12,1,1,6,7,2.25,4,4,2,4,1,120,5,0
2,27.83,4,2,2,4,8,5.75,4,4,2,4,1,75,0,0
2,54.83,15.5,1,1,12,11,0,4,4,20,3,1,152,130,0
2,28.75,1.165,1,1,6,7,0.5,4,3,0,3,3,280,0,0
1,25,11,2,2,13,7,4.5,4,3,0,3,1,120,0,0
2,40.92,2.25,2,2,11,8,10,4,3,0,4,1,176,0,0
1,19.75,0.75,1,1,1,7,0.795,4,4,5,4,1,140,5,0
2,29.17,3.5,1,1,10,7,3.5,4,4,3,4,1,329,0,0
1,24.5,1.04,2,2,14,14,0.5,4,4,3,3,1,180,147,0
2,24.58,12.5,1,1,10,7,0.875,4,3,0,4,1,260,0,0
1,33.75,0.75,1,1,6,9,1,4,4,3,4,1,212,0,0
2,20.67,1.25,2,2,1,8,1.375,4,4,3,4,1,140,210,0
1,25.42,1.125,1,1,9,7,1.29,4,4,2,3,1,200,0,0
2,37.75,7,1,1,9,8,11.5,4,4,7,4,1,300,5,0
2,52.5,6.5,1,1,6,7,6.29,4,4,15,3,1,0,11202,1
2,57.83,7.04,1,1,7,7,14,4,4,6,4,1,360,1332,1
1,20.75,10.335,1,1,3,8,0.335,4,4,1,4,1,80,50,1
2,39.92,6.21,1,1,9,7,0.04,4,4,1,3,1,200,300,1
2,25.67,12.5,1,1,3,7,1.21,4,4,67,4,1,140,258,1
1,24.75,12.5,1,1,13,7,1.5,4,4,12,4,1,120,567,1
1,44.17,6.665,1,1,9,7,7.375,4,4,3,4,1,0,0,1
1,23.5,9,1,1,9,7,8.5,4,4,5,4,1,120,0,1
2,34.92,5,1,1,11,8,7.5,4,4,6,4,1,0,1000,1
2,47.67,2.5,1,1,7,9,2.5,4,4,12,4,1,410,2510,1
2,22.75,11,1,1,9,7,2.5,4,4,7,4,1,100,809,1
2,34.42,4.25,1,1,4,9,3.25,4,4,2,3,1,274,610,1
1,28.42,3.5,1,1,10,7,0.835,4,3,0,3,3,280,0,1
2,67.75,5.5,1,1,12,11,13,4,4,1,4,1,0,0,1
2,20.42,1.835,1,1,1,7,2.25,4,4,1,3,1,100,150,1
1,47.42,8,1,1,12,9,6.5,4,4,6,3,1,375,51100,1
2,36.25,5,1,1,1,9,2.5,4,4,6,3,1,0,367,1
2,32.67,5.5,1,1,9,8,5.5,4,4,12,4,1,408,1000,1
2,48.58,6.5,1,1,9,8,6,4,3,0,4,1,350,0,1
2,39.92,0.54,2,2,13,7,0.5,4,4,3,3,1,200,1000,1
2,33.58,2.75,1,1,7,7,4.25,4,4,6,3,1,204,0,1
1,18.83,9.5,1,1,10,7,1.625,4,4,6,4,1,40,600,1
1,26.92,13.5,1,1,9,8,5,4,4,2,3,1,0,5000,1
1,31.25,3.75,1,1,3,8,0.625,4,4,9,4,1,181,0,1
1,56.5,16,1,1,5,14,0,4,4,15,3,1,0,247,1
2,43,0.29,2,2,3,8,1.75,4,4,8,3,1,100,375,1
2,22.33,11,1,1,10,7,2,4,4,1,3,1,80,278,1
2,27.25,1.665,1,1,3,8,5.085,4,4,9,3,1,399,827,1
2,32.83,2.5,1,1,3,8,2.75,4,4,6,3,1,160,2072,1
2,23.25,1.5,1,1,9,7,2.375,4,4,3,4,1,0,582,1
1,40.33,7.54,2,2,9,8,8,4,4,14,3,1,0,2300,1
1,30.5,6.5,1,1,1,9,4,4,4,7,4,1,0,3065,1
1,52.83,15,1,1,1,7,5.5,4,4,14,3,1,0,2200,1
1,46.67,0.46,1,1,3,8,0.415,4,4,11,4,1,440,6,1
1,58.33,10,1,1,9,7,4,4,4,14,3,1,0,1602,1
2,37.33,6.5,1,1,7,8,4.25,4,4,12,4,1,93,0,1
2,23.08,2.5,1,1,1,7,1.085,4,4,11,4,1,60,2184,1
2,32.75,1.5,1,1,3,8,5.5,4,4,3,4,1,0,0,1
1,21.67,11.5,2,2,5,5,0,4,4,11,4,1,0,0,1
1,28.5,3.04,2,2,11,8,2.54,4,4,1,3,1,70,0,1
1,68.67,15,1,1,12,11,0,4,4,14,3,1,0,3376,1
2,28,2,1,1,6,8,4.165,4,4,2,4,1,181,0,1
2,34.08,0.08,2,2,7,9,0.04,4,4,1,4,1,280,2000,1
2,27.67,2,1,1,11,8,1,4,4,4,3,1,140,7544,1
2,44,2,1,1,7,7,1.75,4,4,2,4,1,0,15,1
2,25.08,1.71,1,1,11,7,1.665,4,4,1,4,1,395,20,1
2,32,1.75,2,2,12,8,0.04,4,3,0,4,1,393,0,1
1,60.58,16.5,1,1,9,7,11,4,3,0,4,1,21,10561,1
1,40.83,10,1,1,9,8,1.75,4,3,0,3,1,29,837,1
2,19.33,9.5,1,1,9,7,1,4,3,0,4,1,60,400,1
1,32.33,0.54,1,1,3,7,0.04,4,3,0,3,1,440,11177,1
2,36.67,3.25,1,1,9,8,9,4,3,0,4,1,102,639,1
2,37.5,1.125,2,2,2,7,1.5,3,3,0,4,1,431,0,1
1,25.08,2.54,2,2,13,7,0.25,4,3,0,4,1,370,0,1
2,41.33,0,1,1,1,9,15,4,3,0,3,1,0,0,1
2,56,12.5,1,1,6,8,8,4,3,0,4,1,24,2028,1
1,49.83,13.585,1,1,6,8,8.5,4,3,0,4,1,0,0,1
2,22.67,10.5,1,1,9,8,1.335,4,3,0,3,1,100,0,1
2,27,1.5,2,2,10,7,0.375,4,3,0,4,1,260,1065,1
2,25,12.5,1,1,13,7,3,4,3,0,4,3,20,0,1
1,26.08,8.665,1,1,13,7,1.415,4,3,0,3,1,160,150,1
1,18.42,9.25,1,1,9,7,1.21,4,4,4,3,1,60,540,1
2,20.17,8.17,1,1,13,7,1.96,4,4,14,3,1,60,158,1
2,47.67,0.29,1,1,1,9,15,4,4,20,3,1,0,15000,1
1,21.25,2.335,1,1,4,9,0.5,4,4,4,3,3,80,0,1
1,20.67,3,1,1,9,7,0.165,4,4,3,3,1,100,6,1
1,57.08,19.5,1,1,1,7,5.5,4,4,7,3,1,0,3000,1
1,22.42,5.665,1,1,9,7,2.585,4,4,7,3,1,129,3257,1
2,48.75,8.5,1,1,1,8,12.5,4,4,9,3,1,181,1655,1
2,40,6.5,1,1,13,9,3.5,4,4,1,3,1,0,500,1
2,40.58,5,1,1,1,7,5,4,4,7,3,1,0,3065,1
1,28.67,1.04,1,1,1,7,2.5,4,4,5,4,1,300,1430,1
1,33.08,4.625,1,1,9,8,1.625,4,4,2,3,1,0,0,1
2,21.33,10.5,1,1,1,7,3,4,3,0,4,1,0,0,1
2,42,0.205,1,1,4,8,5.125,4,3,0,3,1,400,0,1
2,41.75,0.96,1,1,11,7,2.5,4,3,0,3,1,510,600,1
2,22.67,1.585,2,2,10,7,3.085,4,4,6,3,1,80,0,1
2,34.5,4.04,2,2,4,9,8.5,4,4,7,4,1,195,0,1
2,28.25,5.04,2,2,1,9,1.5,4,4,8,4,1,144,7,1
2,33.17,3.165,2,2,11,7,3.165,4,4,3,4,1,380,0,1
2,48.17,7.625,1,1,10,8,15.5,4,4,12,3,1,0,790,1
2,27.58,2.04,2,2,13,7,2,4,4,3,4,1,370,560,1
2,22.58,10.04,1,1,11,7,0.04,4,4,9,3,1,60,396,1
1,24.08,0.5,1,1,9,8,1.25,4,4,1,3,1,0,678,1
1,41.33,1,1,1,4,9,2.25,4,3,0,4,1,0,300,1
2,24.83,2.75,1,1,1,7,2.25,4,4,6,3,1,2064.60579710145,600,1
1,20.75,10.25,1,1,9,7,0.71,4,4,2,4,1,49,0,1
2,36.33,2.125,2,2,10,7,0.085,4,4,1,3,1,50,1187,1
1,35.42,12,1,1,9,8,14,4,4,8,3,1,0,6590,1
1,71.58,0,870.798550724638,870.798550724638,1311.16811594203,1312.30724637681,0,3,3,0,3,2,2064.60579710145,0,1
2,28.67,9.335,1,1,9,8,5.665,4,4,6,3,1,381,168,1
2,35.17,2.5,1,1,6,7,4.5,4,4,7,3,1,150,1270,1
2,39.5,4.25,1,1,1,9,6.5,4,4,16,3,1,117,1210,1
2,39.33,5.875,1,1,3,8,10,4,4,14,4,1,399,0,1
2,24.33,6.625,2,2,2,7,5.5,4,3,0,4,3,100,0,1
2,60.08,14.5,1,1,14,14,18,4,4,15,4,1,0,1000,1
2,23.08,11.5,1,1,4,7,3.5,4,4,9,3,1,56,742,1
2,26.67,2.71,2,2,3,7,5.25,4,4,1,3,1,211,0,1
2,48.17,3.5,1,1,13,7,3.5,4,3,0,3,3,230,0,1
2,41.17,4.04,1,1,3,8,7,4,4,8,3,1,320,0,1
2,55.92,11.5,1,1,14,14,5,4,4,5,3,1,0,8851,1
2,53.92,9.625,1,1,12,7,8.665,4,4,5,3,1,0,0,1
1,18.92,9.25,2,2,1,7,1,4,4,4,4,1,80,500,1
1,50.08,12.54,1,1,13,7,2.29,4,4,3,4,1,156,0,1
2,65.42,11,1,1,12,11,20,4,4,7,4,1,22,0,1
1,17.58,9,1,1,13,7,1.375,4,3,0,4,1,0,0,1
1,18.83,9.54,1,1,13,7,0.085,4,3,0,3,1,100,0,1
1,37.75,5.5,1,1,9,7,0.125,4,3,0,4,1,228,0,1
2,23.25,4,1,1,1,9,0.25,4,3,0,4,1,160,0,1
2,18.08,5.5,1,1,6,7,0.5,4,3,0,3,1,80,0,1
1,22.5,8.46,2,2,11,7,2.46,3,3,0,3,1,164,0,1
2,19.67,0.375,1,1,9,7,2,4,4,2,4,1,80,0,1
2,22.08,11,1,1,3,7,0.665,4,3,0,3,1,100,0,1
2,25.17,3.5,1,1,3,7,0.625,4,4,7,3,1,0,7059,1
1,47.42,3,1,1,11,7,13.875,4,4,2,4,1,519,1704,1
2,33.5,1.75,1,1,11,8,4.5,4,4,4,4,1,253,857,1
2,27.67,13.75,1,1,10,7,5.75,4,3,0,4,1,487,500,1
1,58.42,21,1,1,4,9,10,4,4,13,3,1,0,6700,1
1,20.67,1.835,1,1,9,7,2.085,4,4,5,3,1,220,2503,1
2,26.17,0.25,1,1,4,9,0,4,3,0,4,1,0,0,1
2,21.33,7.5,1,1,13,7,1.415,4,4,1,3,1,80,9800,1
2,42.83,4.625,1,1,9,7,4.58,4,3,0,3,3,0,0,1
2,38.17,10.125,1,1,11,7,2.5,4,4,6,3,1,520,196,1
2,20.5,10,2,2,1,7,2.5,4,3,0,3,3,40,0,1
2,48.25,25.085,1,1,10,7,1.75,4,4,3,3,1,120,14,1
2,28.33,5,1,1,10,7,11,4,3,0,4,1,70,0,1
1,18.75,7.5,1,1,9,7,2.71,4,4,5,3,1,2064.60579710145,26726,1
2,18.5,2,1,1,4,7,1.5,4,4,2,3,1,120,300,1
2,33.17,3.04,2,2,1,8,2.04,4,4,1,4,1,180,18027,1
2,45,8.5,1,1,3,8,14,4,4,1,4,1,88,2000,1
1,19.67,0.21,1,1,9,8,0.29,4,4,11,3,1,80,99,1
1740.79130434783,24.5,12.75,1,1,1,9,4.75,4,4,2,3,1,73,444,1
2,21.83,11,1,1,11,7,0.29,4,4,6,3,1,121,0,1
2,40.25,21.5,1,1,12,11,20,4,4,11,3,1,0,1200,1
2,41.42,5,1,1,9,8,5,4,4,6,4,1,470,0,1
1,17.83,11,1,1,11,8,1,4,4,11,3,1,0,3000,1
2,23.17,11.125,1,1,11,8,0.46,4,4,1,3,1,100,0,1
2,1770.1495942029,0.625,1,1,6,7,0.25,3,3,0,3,1,380,2010,0
2,18.17,10.25,1,1,1,8,1.085,3,3,0,3,1,320,13,0
2,20,11.045,1,1,1,7,2,3,3,0,4,1,136,0,0
2,20,0,1,1,2,7,0.5,3,3,0,3,1,144,0,0
1,20.75,9.54,1,1,4,7,0.04,3,3,0,3,1,200,1000,0
1,24.5,1.75,2,2,1,7,0.165,3,3,0,3,1,132,0,0
2,32.75,2.335,1,1,2,8,5.75,3,3,0,4,1,292,0,0
1,52.17,0,2,2,14,14,0,3,3,0,3,1,0,0,0
1,48.17,1.335,1,1,4,13,0.335,3,3,0,3,1,0,120,0
1,20.42,10.5,2,2,11,8,0,3,3,0,4,1,154,32,0
2,50.75,0.585,1,1,14,14,0,3,3,0,3,1,145,0,0
2,17.08,0.085,2,2,1,7,0.04,3,3,0,3,1,140,722,0
2,18.33,1.21,2,2,12,12,0,3,3,0,3,1,100,0,0
1,32,6,1,1,2,7,1.25,3,3,0,3,1,272,0,0
2,59.67,1.54,1,1,9,7,0.125,4,3,0,4,1,260,0,1
2,18,0.165,1,1,9,10,0.21,3,3,0,3,1,200,40,1
2,37.58,0,870.798550724638,870.798550724638,1311.16811594203,1312.30724637681,0,3,3,0,3,2,2064.60579710145,0,1
2,32.33,2.5,1,1,1,7,1.25,3,3,0,4,1,280,0,0
2,18.08,6.75,2,2,7,7,0.04,3,3,0,3,1,140,0,0
2,38.25,10.125,2,2,6,7,0.125,3,3,0,3,1,160,0,0
2,30.67,2.5,1,1,3,8,2.25,3,3,0,4,3,340,0,0
2,18.58,5.71,1,1,2,7,0.54,3,3,0,3,1,120,0,0
1,19.17,5.415,1,1,4,8,0.29,3,3,0,3,1,80,484,0
1,18.17,10,2,2,9,8,0.165,3,3,0,3,1,340,0,0
2,24.58,13.5,2,2,14,14,0,3,3,0,3,1,2064.60579710145,0,0
2,16.25,0.835,1,1,7,7,0.085,4,3,0,3,3,200,0,0
2,21.17,0.875,2,2,1,8,0.25,3,3,0,3,1,280,204,0
2,23.92,0.585,2,2,3,8,0.125,3,3,0,3,1,240,1,0
2,17.67,4.46,1,1,1,7,0.25,3,3,0,3,3,80,0,0
1,16.5,1.25,1,1,9,7,0.25,3,4,1,3,1,108,98,0
2,23.25,12.625,1,1,1,7,0.125,3,4,2,3,1,0,5552,0
2,17.58,10,1,1,10,8,0.165,3,4,1,3,1,120,1,0
1,1770.1495942029,1.5,1,1,14,14,0,3,4,2,4,1,200,105,0
2,29.5,0.58,1,1,10,7,0.29,3,4,1,3,1,340,2803,0
2,18.83,0.415,2,2,1,7,0.165,3,4,1,3,1,200,1,0
1,21.75,1.75,2,2,5,5,0,3,3,0,3,1,160,0,0
2,23,0.75,1,1,7,7,0.5,3,3,0,4,3,320,0,0
1,18.25,10,1,1,10,7,1,3,4,1,3,1,120,1,0
2,25.42,0.54,1,1,10,7,0.165,3,4,1,3,1,272,444,0
2,35.75,2.415,1,1,10,7,0.125,3,4,2,3,1,220,1,0
1,16.08,0.335,1,1,14,14,0,3,4,1,3,1,160,126,0
1,31.92,3.125,1,1,14,14,3.04,3,4,2,4,1,200,4,0
2,69.17,9,1,1,14,14,4,3,4,1,3,1,70,6,0
2,32.92,2.5,1,1,13,7,1.75,3,4,2,4,1,720,0,0
2,16.33,2.75,1,1,13,7,0.665,3,4,1,3,1,80,21,0
2,22.17,12.125,1,1,1,7,3.335,3,4,2,4,1,180,173,0
1,57.58,2,1,1,14,14,6.5,3,4,1,3,1,0,10,0
2,18.25,0.165,1,1,2,7,0.25,3,3,0,4,3,280,0,0
2,23.42,1,1,1,1,7,0.5,3,3,0,4,3,280,0,0
1,15.92,2.875,1,1,9,7,0.085,3,3,0,3,1,120,0,0
1,24.75,13.665,1,1,9,8,1.5,3,3,0,3,1,280,1,0
2,48.75,26.335,2,2,14,14,0,4,3,0,4,1,0,0,0
2,23.5,2.75,1,1,14,14,4.5,3,3,0,3,1,160,25,0
2,18.58,10.29,1,1,14,14,0.415,3,3,0,3,1,80,0,0
2,27.75,1.29,1,1,6,8,0.25,3,3,0,4,3,140,0,0
1,31.75,3,2,2,5,5,0,3,3,0,3,1,160,20,0
1,24.83,4.5,1,1,10,7,1,3,3,0,4,1,360,6,0
2,19,1.75,2,2,1,7,2.335,3,3,0,4,1,112,6,0
1,16.33,0.21,1,1,13,7,0.125,3,3,0,3,1,200,1,0
1,18.58,10,1,1,2,7,0.415,3,3,0,3,1,80,42,0
2,16.25,0,2,2,13,7,0.25,3,3,0,3,1,60,0,0
2,23,0.75,1,1,7,7,0.5,4,3,0,4,3,320,0,0
2,21.17,0.25,2,2,1,8,0.25,3,3,0,3,1,280,204,0
2,17.5,22,3,3,14,13,0,3,3,0,4,2,450,1017.38550724638,1
2,19.17,0,2,2,7,9,0,3,3,0,4,3,500,1,1
2,36.75,0.125,2,2,1,7,1.5,3,3,0,4,1,232,113,1
2,21.25,1.5,1,1,10,7,1.5,3,3,0,3,1,150,8,1
1,18.08,0.375,3,3,3,14,10,3,3,0,4,3,300,0,1
1,33.67,0.375,1,1,3,7,0.375,3,3,0,3,1,300,44,1
2,48.58,0.205,2,2,6,7,0.25,4,4,11,3,1,380,2732,1
2,33.67,1.25,1,1,10,7,1.165,3,3,0,3,1,120,0,0
1,29.5,1.085,2,2,11,7,1,3,3,0,3,1,280,13,0
2,30.17,1.085,2,2,1,7,0.04,3,3,0,3,1,170,179,0
1740.79130434783,40.83,3.5,1,1,4,9,0.5,3,3,0,3,3,1160,0,0
2,34.83,2.5,2,2,10,7,3,3,3,0,3,3,200,0,0
2,1770.1495942029,4,2,2,4,7,0.085,3,3,0,4,1,411,0,0
2,20.42,0,870.798550724638,870.798550724638,1311.16811594203,1312.30724637681,0,3,3,0,3,2,2064.60579710145,0,0
1,33.25,2.5,2,2,1,7,2.5,3,3,0,4,1,0,2,0
2,34.08,2.5,1,1,1,7,1,3,3,0,3,1,460,16,0
1,25.25,12.5,1,1,2,7,1,3,3,0,4,1,180,1062,0
2,34.75,2.5,1,1,3,9,0.5,3,3,0,3,1,348,0,0
2,27.67,0.75,1,1,9,8,0.165,3,3,0,4,1,220,251,0
2,47.33,6.5,1,1,1,7,1,3,3,0,4,1,0,228,0
1,34.83,1.25,2,2,4,8,0.5,3,3,0,4,1,160,0,0
1,33.25,3,2,2,13,7,2,3,3,0,3,1,180,0,0
2,28,3,1,1,10,7,0.75,3,3,0,4,1,300,67,0
1,39.08,4,1,1,1,7,3,3,3,0,3,1,480,0,0
2,42.75,4.085,1,1,13,7,0.04,3,3,0,3,1,108,100,0
2,26.92,2.25,1,1,4,9,0.5,3,3,0,4,1,640,4000,0
2,33.75,2.75,1,1,4,9,0,3,3,0,3,1,180,0,0
2,38.92,1.75,1,1,6,7,0.5,3,3,0,4,1,300,2,0
2,62.75,7,1,1,12,11,0,3,3,0,3,1,0,12,0
1740.79130434783,32.25,1.5,1,1,1,7,0.25,3,3,0,4,1,372,122,0
2,26.75,4.5,2,2,1,9,2.5,3,3,0,3,1,200,1210,0
2,63.33,0.54,1,1,1,7,0.585,4,4,3,4,1,180,0,0
2,27.83,1.5,1,1,10,7,2.25,3,4,1,4,1,100,3,0
1,26.17,2,1,1,5,5,0,3,3,0,4,1,276,1,0
2,22.17,0.585,2,2,14,14,0,3,3,0,3,1,100,0,0
2,22.5,11.5,2,2,7,7,1.5,3,3,0,4,1,0,4000,0
2,30.75,1.585,1,1,2,7,0.585,3,3,0,4,3,0,0,0
2,36.67,2,1,1,4,7,0.25,3,3,0,4,1,221,0,0
1,16,0.165,1,1,13,7,1,3,4,2,4,1,320,1,0
2,41.17,1.335,1,1,2,7,0.165,3,3,0,3,1,168,0,0
1,19.5,0.165,1,1,9,7,0.04,3,3,0,4,1,380,0,0
2,32.42,3,1,1,2,7,0.165,3,3,0,4,1,120,0,0
1,36.75,4.71,1,1,14,14,0,3,3,0,3,1,160,0,0
1,30.25,5.5,1,1,6,7,5.5,3,3,0,4,3,100,0,0
2,23.08,2.5,1,1,14,14,0.085,3,3,0,4,1,100,4208,0
2,26.83,0.54,1,1,6,14,0,3,3,0,3,1,100,0,0
2,16.92,0.335,2,2,6,7,0.29,3,3,0,3,3,200,0,0
2,24.42,2,1,1,12,12,0.165,3,4,2,3,1,320,1300,0
2,42.83,1.25,1,1,7,7,13.875,3,4,1,4,1,352,112,0
1,22.75,6.165,1,1,13,7,0.165,3,3,0,3,1,220,1000,0
2,39.42,1.71,2,2,7,7,0.165,3,3,0,3,3,400,0,0
